voted_up,playtime_recorded,playtime_last_2W,has_engagement,cluster
0,0.3832155606963987,0.5851954287053338,0,0
1,0.545236579911196,0.6554473153033529,1,1
0,0.09486253817805465,0.3023039872902181,0,0
1,0.6851233670682518,0.7488825276837681,0,2
1,0.2709906641180708,0.5278792790609694,0,2
0,0.582605308954936,0.838616858708505,0,0
1,0.6389834570697877,0.8550479140108174,0,2
0,0.7798882704590233,0.0,0,0
0,0.8783360501579317,0.7631094520140582,0,0
1,0.8039315388421049,0.0,0,2
1,0.054613941978275876,0.0,0,2
1,0.5090867188695475,0.6722580881454704,0,2
0,0.8583584414706061,0.9108697848294252,0,0
1,0.6691825031036797,0.7609358068754115,0,2
1,0.5717606233078253,0.7596413598361262,0,2
1,0.7147051134393908,0.747972588695333,1,1
1,0.7486816088056354,0.7644639898022664,0,2
1,0.5727182477379862,0.7937270381790636,0,2
0,0.7359410188371678,0.7583300922242303,0,0
1,0.815146739904446,0.9536445939143215,0,2
1,0.15517471644165956,0.37954853376189107,0,2
1,0.781486562439587,0.7423336050206643,0,2
1,0.5496875377496591,0.5782332511004694,0,2
1,0.32433032608593315,0.5961938071758688,0,2
1,0.5718439562222623,0.8039905926223422,0,2
0,0.7758044795275294,0.7992645340042034,0,0
1,0.654012396270827,0.756834258163912,0,2
1,0.3678090404395502,0.6374748805263181,0,2
1,0.7576195714922191,0.5983640316806327,0,2
1,0.9486447441861051,0.8641179268189422,0,2
0,0.6242620724420966,0.0,0,0
1,0.38841462981258046,0.6735403360211133,0,2
1,0.6466214208793619,0.7292813158132971,0,2
1,0.6856512213350135,0.8500104772362027,1,1
1,0.777868428186239,0.6499658992712644,1,1
1,0.7646472683810408,0.852787332517032,1,1
1,0.6246796614204502,0.5095887972732362,0,2
0,0.7204789052825069,0.7922447390480728,0,0
1,0.3666914151297165,0.6471920846163404,0,2
1,0.8115143552509029,0.5245883934092811,0,2
1,0.9525819744584648,0.95189903599608,0,2
1,0.8447761774438696,0.6240520503886371,0,2
0,0.17164932333129,0.4006483111887085,0,0
1,0.3800075940978558,0.40253456330489945,0,2
1,0.6986091692214731,0.6848581273065656,0,2
1,0.7773602140456073,0.6878873840629989,0,2
0,0.5775374575979865,0.6297159083404856,1,3
0,0.8906233498962804,0.8064780967331149,1,3
0,0.6878342068156035,0.7923233000096587,0,0
1,0.7502538834344269,0.6146835220985274,0,2
0,0.6287786071430885,0.8390131736020382,1,3
1,0.882329038969324,0.8370914661264363,0,2
1,0.8795781012045388,0.6330057420686453,1,1
0,0.5502372890839775,0.8199401583602731,1,3
1,0.6596232785844082,0.6939986067989183,0,2
1,0.5399662249806244,0.6858780168982226,0,2
1,0.5067538438625645,0.7586595099815978,0,2
1,0.9218448956764428,0.5133972322697721,0,2
1,0.7275873700340122,0.7435505791170429,0,2
1,0.6014746121089027,0.7392585905308484,0,2
0,0.7755307836151059,0.49499888136427395,0,0
1,0.7449074238357349,0.7008358680890152,0,2
1,0.509536955884716,0.6716108020899503,0,2
0,0.6290835307438155,0.7581649792066567,0,0
1,0.37130608974007195,0.34322009984480967,0,2
1,0.8596385784016979,0.7814728309732489,0,2
1,0.34575632705063897,0.0,0,2
1,0.4571165530170026,0.747972588695333,0,2
1,0.4574729855772487,0.6248808973486186,0,2
1,0.36768563984540614,0.13989311282056244,0,2
0,0.6132883444495186,0.6341417189809954,0,0
0,0.30637298334309104,0.0,0,0
1,0.8153027096707234,0.7059536066926191,0,2
1,0.7553101043426032,0.7833355997507037,0,2
1,0.7852195880079694,0.8568040325379778,0,2
1,0.8190747628832395,0.9128752329765234,0,2
1,0.28932721810290307,0.5513637367142993,0,2
1,0.3509636504503395,0.6303043155473262,0,2
0,0.41081997489778277,0.0,0,0
1,0.7715715251327249,0.6708285380945944,1,1
1,0.6823887675869431,0.7739877538673892,0,2
1,0.6870832392368003,0.7739877538673892,0,2
1,0.6839454725361261,0.7739877538673892,0,2
